Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price,img_url1,img_url2,img_url3,img_url4,img_url5
Canon PowerShot A95,2004,2592,2048,5,38,114,45,5,32,335,101,139,/imagecamera/canon/CanonA95-1.jpg,
Canon EOS-1D Mark II,2004,3504,3104,8,0,0,0,0,0,1565,156,4499,/imagecamera/canon/CanonMarkII-1.jpg,
Canon EOS-1D Mark III,2007,3888,3456,10,0,0,0,0,0,1335,156,4499,/imagecamera/canon/CanonMarkIII-1.jpg,
Canon EOS-1D Mark II N,2005,3504,3104,8,0,0,0,0,0,1565,156,4499,/imagecamera/canon/CanonMarkIIN-1.jpg,
Canon EOS 20D,2004,3504,2544,8,0,0,0,0,0,770,144,1299,/imagecamera/canon/Canon20d-1.jpg,
Canon EOS 20Da,2005,3504,2544,8,0,0,0,0,0,770,144,1299,/imagecamera/canon/Canon20Da-1.jpg,
Canon EOS 30D,2006,3504,2544,8,0,0,0,0,0,784,144,1299,/imagecamera/canon/Canon30d-1.jpg,
Canon EOS 350D / Digital Rebel XT,2005,3456,2496,8,0,0,0,0,0,540,127,1299,/imagecamera/canon/Canon350D-1.jpg,
Canon EOS 400D / Digital Rebel XTi,2006,3888,2816,10,0,0,0,0,0,556,127,1299,/imagecamera/canon/Canon400D-1.jpg,
Canon EOS 40D,2007,3888,2816,10,0,0,0,0,0,822,146,1299,/imagecamera/canon/Canon40D-1.jpg,
Canon EOS 5D,2005,4368,3168,12,0,0,0,0,0,895,152,2499,/imagecamera/canon/Canon5D-1.jpg,
Canon PowerShot G6,2004,3072,2592,7,35,140,50,5,32,467,105,499,/imagecamera/canon/CanonG6-1.jpg,
Canon PowerShot G7,2006,3648,2816,10,35,210,50,1,32,380,106,499,/imagecamera/canon/CanonG7-1.jpg,/imagecamera/canon/CanonG7-2.jpg
Canon PowerShot G9,2007,4000,3264,12,35,210,50,1,32,370,106,499,/imagecamera/canon/CanonG9-1.jpg,
Canon PowerShot Pro1,2004,3264,2272,8,28,200,50,3,64,640,118,139,/imagecamera/canon/CanonPro1-1.jpg,
Canon PowerShot S1 IS,2004,2048,1600,3,38,380,10,10,32,469,111,399,/imagecamera/canon/CanonS1IS-1.jpg,/imagecamera/canon/CanonS1IS-2.jpg
Canon PowerShot S2 IS,2005,2592,2048,5,36,432,50,10,16,505,113,399,/imagecamera/canon/CanonS2IS-1.jpg,
Canon PowerShot S3 IS,2006,2816,2272,6,36,432,50,10,16,510,113,399,/imagecamera/canon/CanonS3IS-1.jpg,
Canon PowerShot S410,2004,2272,1600,3,36,108,0,5,32,215,87,139,/imagecamera/canon/CanonS410-1.jpg,/imagecamera/canon/CanonS410-2.jpg,
Canon PowerShot S500,2004,2592,2048,5,36,108,0,5,32,215,87,149,/imagecamera/canon/CanonS500-1.jpg,/imagecamera/canon/CanonS500-1.jpg,
Canon PowerShot S5 IS,2007,3264,2272,8,36,432,50,10,32,550,117,399,/imagecamera/canon/CanonS5IS-1.jpg,
Canon PowerShot S60,2004,2592,1600,5,28,100,50,4,32,300,114,399,/imagecamera/canon/CanonS60-1.jpg,/imagecamera/canon/CanonS60-2.jpg,
Canon PowerShot S70,2004,3072,2592,7,28,100,50,4,32,300,114,399,/imagecamera/canon/CanonS70-1.jpg,/imagecamera/canon/CanonS70-2.jpg,
Canon PowerShot S80,2005,3264,2592,8,28,100,50,4,32,290,104,399,/imagecamera/canon/CanonS80-1.jpg,/imagecamera/canon/CanonS80-1.jpg,
Canon PowerShot SD1000,2007,3072,2592,7,35,105,0,5,32,175,86,199,/imagecamera/canon/CanonSD1000-1.jpg,/imagecamera/canon/CanonSD1000-2.jpg,
Canon PowerShot SD110,2004,2048,1600,3,35,70,0,10,16,195,85,199,/imagecamera/canon/CanonSD110-1.jpg,/imagecamera/canon/CanonSD110-2.jpg,
Canon PowerShot SD20,2004,2592,2048,5,39,39,0,3,32,140,90,199,/imagecamera/canon/CanonSD20-1.jpg,/imagecamera/canon/CanonSD20-2.jpg,/imagecamera/canon/CanonSD20-3.jpg,
Canon PowerShot SD200,2004,2048,1600,3,35,105,0,3,16,135,86,199,/imagecamera/canon/CanonSD200-1.jpg,/imagecamera/canon/CanonSD200-2.jpg,
Canon PowerShot SD30,2005,2592,2048,5,38,90,0,10,16,120,96,199,/imagecamera/canon/CanonSD30-1.jpg,/imagecamera/canon/CanonSD30-2.jpg,/imagecamera/canon/CanonSD30-3.jpg,/imagecamera/canon/CanonSD30-4.jpg
Canon PowerShot SD300,2004,2272,1600,3,35,105,0,3,16,147,86,199,/imagecamera/canon/CanonSD300-1.jpg,/imagecamera/canon/CanonSD300-2.jpg,
Canon PowerShot SD40,2006,3072,2592,7,38,90,0,10,16,120,96,199,/imagecamera/canon/CanonSD40-1.jpg,/imagecamera/canon/CanonSD40-2.jpg,/imagecamera/canon/CanonSD40-3.jpg,
Canon PowerShot SD400,2005,2592,2048,5,35,105,0,3,16,150,86,199,/imagecamera/canon/CanonSD400-1.jpg,/imagecamera/canon/CanonSD400-2.jpg,
Canon PowerShot SD430 Wireless,2005,2592,2048,5,35,105,0,3,16,185,99,199,/imagecamera/canon/CanonSD430-1.jpg,/imagecamera/canon/CanonSD430-2.jpg,
Canon PowerShot SD450,2005,2592,2048,5,35,105,0,3,16,155,86,199,/imagecamera/canon/CanonSD450-1.jpg,
Canon PowerShot SD500,2005,3072,2592,7,37,111,0,5,32,200,90,199,/imagecamera/canon/CanonSD500-1.jpg,/imagecamera/canon/CanonSD500-2.jpg,
Canon PowerShot SD550,2005,3072,2592,7,37,111,0,5,32,185,90,199,/imagecamera/canon/CanonSD550-1.jpg,/imagecamera/canon/CanonSD550-2.jpg,
Canon PowerShot SD600,2006,2816,2272,6,35,105,30,3,16,170,86,199,/imagecamera/canon/CanonSD600-1.jpg,
Canon PowerShot SD630,2006,2816,2272,6,35,105,30,3,16,175,90,199,/imagecamera/canon/CanonSD630-1.jpg,
Canon PowerShot SD700 IS,2006,2816,2272,6,35,140,45,2,16,195,90,384,/imagecamera/canon/CanonSD700-1.jpg,
Canon PowerShot SD750,2007,3072,2592,7,35,105,0,5,32,170,92,384,/imagecamera/canon/CanonSD750-1.jpg,
Canon PowerShot SD800 IS,2006,3072,2592,7,28,105,0,3,16,195,90,384,/imagecamera/canon/CanonSD800-1.jpg,
Canon PowerShot SD850 IS,2007,3264,2272,8,35,140,45,2,32,195,90,384,/imagecamera/canon/CanonSD850-1.jpg,
Canon PowerShot SD870 IS,2007,3264,2592,8,28,105,45,2,32,165,93,384,/imagecamera/canon/CanonSD870-1.jpg,
Canon PowerShot SD900,2006,3648,2816,10,37,111,0,5,32,205,91,199,/imagecamera/canon/CanonSD900-1.jpg,
Canon PowerShot SD950 IS,2007,4000,3264,12,36,133,50,5,32,205,96,384,/imagecamera/canon/CanonSD950-1.jpg,
Canon PowerShot SX100 IS,2007,3264,2592,8,36,360,50,1,32,316,109,299,/imagecamera/canon/CanonSX100-1.jpg,
Canon PowerShot TX1,2007,3072,2592,7,39,390,50,10,0,260,89,139,/imagecamera/canon/CanonTX1-1.jpg,/imagecamera/canon/CanonTX1-2.jpg,
