Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price,img_url1,img_url2,img_url3,img_url4,img_url5
Sony DSC-T200,2007,3264,3264,8,35,175,50,1,31,160,94,399,/imagecamera/sony/Sony-DSC-T200-1.jpg,/imagecamera/sony/Sony-DSC-T200-2.jpg,/imagecamera/sony/Sony-DSC-T200-3.jpg,/imagecamera/sony/Sony-DSC-T200-4.jpg,
Sony DSC-T3,2004,2592,2048,5,38,114,50,8,32,186,90,399,/imagecamera/sony/Sony-DSC-T3-1.jpg,/imagecamera/sony/Sony-DSC-T3-2.jpg,
Sony DSC-T30,2006,3072,2592,7,38,114,50,1,58,172,95,399,/imagecamera/sony/Sony-DSC-T30-1.jpg,/imagecamera/sony/Sony-DSC-T30-2.jpg,
Sony DSC-T33,2005,2592,2048,5,38,114,50,8,32,150,99,399,/imagecamera/sony/Sony-DSC-T33-1.jpg,
Sony DSC-T5,2005,2592,2048,5,38,114,50,8,32,139,94,399,/imagecamera/sony/Sony-DSC-T5-1.jpg,/imagecamera/sony/Sony-DSC-T5-2.jpg,
Sony DSC-T50,2006,3072,2592,7,38,114,50,1,58,170,95,399,/imagecamera/sony/Sony-DSC-T50-1.jpg,/imagecamera/sony/Sony-DSC-T50-2.jpg,/imagecamera/sony/Sony-DSC-T50-3.jpg,
Sony DSC-T7,2005,2592,2048,5,38,114,50,8,32,134,92,149,/imagecamera/sony/Sony-DSC-T7-1.jpg,/imagecamera/sony/Sony-DSC-T7-2.jpg,/imagecamera/sony/Sony-DSC-T7-3.jpg,
Sony DSC-T9,2005,2816,2048,6,38,114,50,1,32,185,90,429,/imagecamera/sony/Sony-DSC-T9-3.jpg,/imagecamera/sony/Sony-DSC-T9-1.jpg,/imagecamera/sony/Sony-DSC-T9-2.jpg,
Sony DSC-V3,2004,3072,2592,7,34,136,40,10,0,390,120,429,/imagecamera/sony/Sony-DSC-V3-1.jpg,/imagecamera/sony/Sony-DSC-V3-2.jpg,
Sony DSC-W1,2004,2592,2048,5,38,114,50,6,32,250,91,429,/imagecamera/sony/Sony-DSC-W1-1.jpg,/imagecamera/sony/Sony-DSC-W1-2.jpg,/imagecamera/sony/Sony-DSC-W1-3.jpg,
Sony DSC-W100,2006,3264,2592,8,38,114,50,6,64,192,94,149,/imagecamera/sony/Sony-DSC-W100-1.jpg,
Sony DSC-W200,2007,4000,3264,12,35,105,34,5,31,195,91,399,/imagecamera/sony/Sony-DSC-W200-1.jpg,/imagecamera/sony/Sony-DSC-W200-2.jpg,
Sony DSC-W30,2006,2816,2048,6,38,114,50,2,32,153,90,149,/imagecamera/sony/Sony-DSC-W30-1.jpg,/imagecamera/sony/Sony-DSC-W30-2.jpg,/imagecamera/sony/Sony-DSC-W30-3.jpg,
Sony DSC-W35,2007,3072,2592,7,38,114,30,2,56,149,90,429,/imagecamera/sony/Sony-DSC-W35-1.jpg,
Sony DSC-W5,2005,2592,2048,5,38,114,50,6,32,250,91,429,/imagecamera/sony/Sony-DSC-W5-1.jpg,
Sony DSC-W50,2006,2816,2048,6,38,114,50,2,32,157,89,149,/imagecamera/sony/Sony-DSC-W50-1.jpg,/imagecamera/sony/Sony-DSC-W50-2.jpg,
Sony DSC-W55,2007,3072,2592,7,38,114,30,2,56,147,90,429,/imagecamera/sony/Sony-DSC-W55-1.jpg,/imagecamera/sony/Sony-DSC-W55-2.jpg,/imagecamera/sony/Sony-DSC-W55-3.jpg,/imagecamera/sony/Sony-DSC-W55-4.jpg,
Sony DSC-W7,2005,3072,2592,7,38,114,50,6,32,250,91,149,/imagecamera/sony/Sony-DSC-W7-1.jpg,
Sony DSC-W70,2006,3072,2592,7,38,114,50,2,58,157,89,149,/imagecamera/sony/Sony-DSC-W70-1.jpg,
Sony DSC-W80,2007,3072,2592,7,35,105,50,4,31,175,91,149,/imagecamera/sony/Sony-DSC-W80-1.jpg,/imagecamera/sony/Sony-DSC-W80-2.jpg,/imagecamera/sony/Sony-DSC-W80-3.jpg,
Sony DSC-W90,2007,3254,2592,8,35,105,50,4,31,175,91,429,/imagecamera/sony/Sony-DSC-W90-1.jpg,/imagecamera/sony/Sony-DSC-W90-2.jpg,
Sony DSLR-A100,2006,3872,3896,10,0,0,0,0,0,638,133,599,/imagecamera/sony/Sony-DSLR-A100-1.jpg
Sony DSLR-A700,2007,4272,3104,12,0,0,0,0,0,768,142,599,/imagecamera/sony/Sony-DSLR-A700-1.jpg
